,pId,category
931,2421,22G
932,2422,11S
933,2423,58G
934,2428,20S
935,2433,63P
936,2435,11S
937,2436,65G
938,2437,15G
939,2438,2B
940,2439,2B
941,2440,2B
942,2441,2B
943,2442,2B
944,2443,2B
945,2444,2B
946,2445,2B
947,2446,2B
948,2447,53S
949,2448,53G
950,2449,19P
951,2450,33G
952,2451,20P
953,2455,41B
954,2456,2B
955,2457,33G
956,2458,10G
957,2459,2G
958,2460,41B
959,2461,57G
960,2463,0P
961,2464,30G
962,2467,20G
963,2468,24S
964,2469,51S
965,2470,46G
966,2473,46G
967,2476,55B
968,2477,6S
969,2478,33G
970,2479,1G
971,2480,4B
972,2481,1G
973,2482,19G
974,2484,55B
975,2485,65S
976,2487,65G
977,2490,2B
978,2491,19S
979,2492,63G
980,2493,13G
981,2494,19G
982,2495,3B
983,2499,19G
984,2501,31B
985,2502,48S
986,2503,11S
987,2504,18S
988,2505,6P
989,2506,41B
990,2508,11S
991,2509,11S
992,2511,2B
993,2512,20S
994,2513,15G
995,2514,55P
996,2515,20G
997,2516,56P
998,2517,21P
999,2518,19G
1000,2520,55B
1001,2522,2B
1002,2523,2B
1003,2524,12S
1004,2525,4B
1005,2526,2B
1006,2527,4S
1007,2528,41G
1008,2529,47S
1009,2530,4B
1010,2531,12S
1011,2532,20P
1012,2533,60G
1013,2535,54S
1014,2536,1G
1015,2538,2P
1016,2539,20G
1017,2541,4G
1018,2543,19P
1019,2546,55B
1020,2547,4B
1021,2548,46S
1022,2549,14P
1023,2550,19G
1024,2551,62G
1025,2553,39S
1026,2559,63S
1027,2560,19G
1028,2562,2B
1029,2563,2B
1030,2564,2S
1031,2565,19G
1032,2566,2B
1033,2567,2S
1034,2568,12P
1035,2571,16G
1036,2572,44G
1037,2573,24G
1038,2575,39G
1039,2576,55B
1040,2577,41B
1041,2578,2S
1042,2579,19S
1043,2580,47G
1044,2581,50S
1045,2583,24S
1046,2585,1G
1047,2587,41B
1048,2588,4B
1049,2589,1G
1050,2590,33G
1051,2591,19G
1052,2592,55B
1053,2593,1P
1054,2594,2S
1055,2596,51B
1056,2597,2S
1057,2598,67P
1058,2599,55S
1059,2600,12G
1060,2602,19G
1061,2605,57B
1062,2606,24S
1063,2607,51S
1064,2608,32S
1065,2609,65S
1066,2610,28G
1067,2611,44G
1068,2612,19P
1069,2613,20G
1070,2615,11S
1071,2616,19G
1072,2617,9G
1073,2618,19P
1074,2619,24P
1075,2621,2S
1076,2622,52B
1077,2623,14G
1078,2624,19G
1079,2628,15S
1080,2629,19G
1081,2630,53S
1082,2631,19G
1083,2632,20G
1084,2633,36P
1085,2635,31S
1086,2636,36G
1087,2637,44G
1088,2638,36G
1089,2641,2S
1090,2642,10P
1091,2643,19G
1092,2644,24S
1093,2645,1P
1094,2648,2G
1095,2650,2G
1096,2651,19G
1097,2652,2G
1098,2653,14G
1099,2655,19G
1100,2658,2G
1101,2659,54S
1102,2660,1G
1103,2661,47G
1104,2662,19G
1105,2663,1P
1106,2665,1G
1107,2666,11G
1108,2667,24S
1109,2668,9G
1110,2669,2B
1111,2670,11S
1112,2671,3G
1113,2673,19P
1114,2675,51B
1115,2676,4S
1116,2677,2S
